id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
179,350824201000,万安乡,撤乡建镇,350824110000,万安镇,12/21/2017 11:19:57,12/21/2017 11:19:57
180,350823203000,太拔乡,撤乡建镇,350823113000,太拔镇,12/21/2017 11:19:57,12/21/2017 11:19:57
181,350823210000,通贤乡,撤乡建镇,350823114000,通贤镇,12/21/2017 11:19:57,12/21/2017 11:19:57
182,350824202000,东留乡,撤乡建镇,350824107000,东留镇,12/21/2017 11:19:57,12/21/2017 11:19:57
183,350824207000,武东乡,撤乡建镇,350824108000,武东镇,12/21/2017 11:19:57,12/21/2017 11:19:57
184,350424203000,淮土乡,撤乡建镇,350424106000,淮土镇,12/21/2017 11:19:57,12/21/2017 11:19:57
185,350822200000,城郊乡,撤乡建镇,350803110000,城郊镇,12/21/2017 11:19:57,12/21/2017 11:19:57
186,350822203000,仙师乡,撤乡建镇,350803111000,仙师镇,12/21/2017 11:19:57,12/21/2017 11:19:57
187,350881200000,芦芝乡,撤乡建镇,350881110000,芦芝镇,12/21/2017 11:19:57,12/21/2017 11:19:57
188,360622202000,春涛乡,撤乡建镇,360622106000,春涛镇,12/21/2017 11:19:57,12/21/2017 11:19:57
189,,,新设乡,361025206000,大马头乡,12/21/2017 11:19:57,12/21/2017 11:19:57
190,,,新设镇,361022106000,华山镇,12/21/2017 11:19:57,12/21/2017 11:19:57
191,361021204000,徐家乡,撤乡建镇,361021109000,徐家镇,12/21/2017 11:19:57,12/21/2017 11:19:57
192,360222213000,峙滩乡,撤乡建镇,360222109000,峙滩镇,12/21/2017 11:19:57,12/21/2017 11:19:57
193,360281208000,十里岗乡,撤乡建镇,360281116000,十里岗镇,12/21/2017 11:19:57,12/21/2017 11:19:57
194,360429204000,文桥乡,撤乡建镇,360429105000,均桥镇,12/21/2017 11:19:57,12/21/2017 11:19:57
195,360122208000,流湖乡,撤乡建镇,360122113000,流湖镇,12/21/2017 11:19:57,12/21/2017 11:19:57
196,361102204000,秦峰乡,撤乡建镇,361102103000,秦峰镇,12/21/2017 11:19:57,12/21/2017 11:19:57
197,360902204000,洪江乡,撤乡建镇,360902122000,洪江镇,12/21/2017 11:19:57,12/21/2017 11:19:57
198,371103106000,后村镇,整建制划归,371102111000,后村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
199,371725114000,黄堆集镇,更名,,黄泥冈镇,12/21/2017 11:19:57,12/21/2017 11:19:57
200,370523208000,陈官乡,撤乡建镇,370523110000,陈官镇,12/21/2017 11:19:57,12/21/2017 11:19:57
201,370812105000,兴隆庄镇,撤镇建街道,370812004000,兴隆庄街道,12/21/2017 11:19:57,12/21/2017 11:19:57
202,370826210000,西平乡,撤乡建镇,370826112000,西平镇,12/21/2017 11:19:57,12/21/2017 11:19:57
203,370828108000,鱼山镇,撤镇建街道,370828004000,鱼山街道,12/21/2017 11:19:57,12/21/2017 11:19:57
204,370828106000,王丕镇,撤镇建街道,370828003000,王丕街道,12/21/2017 11:19:57,12/21/2017 11:19:57
205,370829208000,满硐乡,撤乡建镇,370829113000,满硐镇,12/21/2017 11:19:57,12/21/2017 11:19:57
206,371522207000,俎店乡,撤乡建镇,371522121000,俎店镇,12/21/2017 11:19:57,12/21/2017 11:19:57
207,371525201000,梁堂乡,撤乡建镇,371525110000,梁堂镇,12/21/2017 11:19:57,12/21/2017 11:19:57
208,371721206000,大集乡,撤乡建镇,371721121000,大集镇,12/21/2017 11:19:57,12/21/2017 11:19:57
209,371721208000,仵楼乡,撤乡建镇,371721122000,仵楼镇,12/21/2017 11:19:57,12/21/2017 11:19:57
210,370402201000,永安乡,撤乡建镇,370402104000,永安镇,12/21/2017 11:19:57,12/21/2017 11:19:57
