,province,city,code_num,code_province,code_city,code_area
2490,云南省,怒江傈僳族自治州,533300000000,530000000000,533300000000,533300000000
2497,宁夏回族自治区,银川市,640100000000,640000000000,640100000000,640100000000
2499,江苏省,南通市,320600000000,320000000000,320600000000,320600000000
2510,陕西省,榆林市,610800000000,610000000000,610800000000,610800000000
2521,湖南省,株洲市,430200000000,430000000000,430200000000,430200000000
2522,广西壮族自治区,崇左市,451400000000,450000000000,451400000000,451400000000
2524,山西省,忻州市,140900000000,140000000000,140900000000,140900000000
2533,安徽省,芜湖市,340200000000,340000000000,340200000000,340200000000
2535,广东省,梅州市,441400000000,440000000000,441400000000,441400000000
2553,内蒙古自治区,乌兰察布市,150900000000,150000000000,150900000000,150900000000
2567,云南省,保山市,530500000000,530000000000,530500000000,530500000000
2573,黑龙江省,大庆市,230600000000,230000000000,230600000000,230600000000
2582,辽宁省,朝阳市,211300000000,210000000000,211300000000,211300000000
2591,安徽省,宣城市,341800000000,340000000000,341800000000,341800000000
2592,湖南省,张家界市,430800000000,430000000000,430800000000,430800000000
2595,河北省,廊坊市,131000000000,130000000000,131000000000,131000000000
2600,广东省,湛江市,440800000000,440000000000,440800000000,440800000000
2609,辽宁省,沈阳市,210100000000,210000000000,210100000000,210100000000
2624,浙江省,温州市,330300000000,330000000000,330300000000,330300000000
2633,河南省,三门峡市,411200000000,410000000000,411200000000,411200000000
2643,湖北省,十堰市,420300000000,420000000000,420300000000,420300000000
2644,四川省,遂宁市,510900000000,510000000000,510900000000,510900000000
2664,广西壮族自治区,梧州市,450400000000,450000000000,450400000000,450400000000
2681,内蒙古自治区,锡林郭勒盟,152500000000,150000000000,152500000000,152500000000
2688,青海省,西宁市,630100000000,630000000000,630100000000,630100000000
2696,新疆维吾尔自治区,哈密地区,652200000000,650000000000,652200000000,652200000000
2708,甘肃省,天水市,620500000000,620000000000,620500000000,620500000000
2712,四川省,凉山彝族自治州,513400000000,510000000000,513400000000,513400000000
2730,山东省,德州市,371400000000,370000000000,371400000000,371400000000
2748,陕西省,渭南市,610500000000,610000000000,610500000000,610500000000
2751,黑龙江省,七台河市,230900000000,230000000000,230900000000,230900000000
2754,安徽省,滁州市,341100000000,340000000000,341100000000,341100000000
2768,福建省,龙岩市,350800000000,350000000000,350800000000,350800000000
2784,辽宁省,抚顺市,210400000000,210000000000,210400000000,210400000000
2792,内蒙古自治区,鄂尔多斯市,150600000000,150000000000,150600000000,150600000000
2797,江西省,吉安市,360800000000,360000000000,360800000000,360800000000
2801,河北省,石家庄市,130100000000,130000000000,130100000000,130100000000
2814,广东省,阳江市,441700000000,440000000000,441700000000,441700000000
2818,辽宁省,辽阳市,211000000000,210000000000,211000000000,211000000000
2833,甘肃省,白银市,620400000000,620000000000,620400000000,620400000000
2841,内蒙古自治区,巴彦淖尔市,150800000000,150000000000,150800000000,150800000000
2843,辽宁省,盘锦市,211100000000,210000000000,211100000000,211100000000
2854,广西壮族自治区,来宾市,451300000000,450000000000,451300000000,451300000000
2859,青海省,海东市,630200000000,630000000000,630200000000,630200000000
2863,湖南省,益阳市,430900000000,430000000000,430900000000,430900000000
2868,广东省,汕尾市,441500000000,440000000000,441500000000,441500000000
2873,陕西省,延安市,610600000000,610000000000,610600000000,610600000000
2878,广东省,江门市,440700000000,440000000000,440700000000,440700000000
2880,浙江省,湖州市,330500000000,330000000000,330500000000,330500000000
2900,黑龙江省,伊春市,230700000000,230000000000,230700000000,230700000000
2902,新疆维吾尔自治区,喀什地区,653100000000,650000000000,653100000000,653100000000
2914,湖北省,黄石市,420200000000,420000000000,420200000000,420200000000
2925,吉林省,长春市,220100000000,220000000000,220100000000,220100000000
2927,云南省,楚雄彝族自治州,532300000000,530000000000,532300000000,532300000000
2934,山东省,东营市,370500000000,370000000000,370500000000,370500000000
2941,江苏省,连云港市,320700000000,320000000000,320700000000,320700000000
2954,甘肃省,陇南市,621200000000,620000000000,621200000000,621200000000
2958,湖北省,恩施土家族苗族自治州,422800000000,420000000000,422800000000,422800000000
2960,河北省,秦皇岛市,130300000000,130000000000,130300000000,130300000000
2970,海南省,三亚市,460200000000,460000000000,460200000000,460200000000
2977,新疆维吾尔自治区,昌吉回族自治州,652300000000,650000000000,652300000000,652300000000
2992,湖北省,荆州市,421000000000,420000000000,421000000000,421000000000
3005,河南省,平顶山市,410400000000,410000000000,410400000000,410400000000
3035,西藏自治区,林芝市,540400000000,540000000000,540400000000,540400000000
3037,黑龙江省,佳木斯市,230800000000,230000000000,230800000000,230800000000
3045,福建省,宁德市,350900000000,350000000000,350900000000,350900000000
3061,云南省,德宏傣族景颇族自治州,533100000000,530000000000,533100000000,533100000000
3069,河北省,衡水市,131100000000,130000000000,131100000000,131100000000
3076,江西省,赣州市,360700000000,360000000000,360700000000,360700000000
3077,河南省,安阳市,410500000000,410000000000,410500000000,410500000000
3084,青海省,海西蒙古族藏族自治州,632800000000,630000000000,632800000000,632800000000
3089,广东省,河源市,441600000000,440000000000,441600000000,441600000000
3092,云南省,昭通市,530600000000,530000000000,530600000000,530600000000
3096,山东省,临沂市,371300000000,370000000000,371300000000,371300000000
