,province,city,code_num
2922,吉林省,长春市,220100000000
2924,云南省,楚雄彝族自治州,532300000000
2930,山东省,东营市,370500000000
2936,江苏省,连云港市,320700000000
2948,甘肃省,陇南市,621200000000
2952,湖北省,恩施土家族苗族自治州,422800000000
2954,河北省,秦皇岛市,130300000000
2964,海南省,三亚市,460200000000
2974,新疆维吾尔自治区,昌吉回族自治州,652300000000
2991,湖北省,荆州市,421000000000
3004,河南省,平顶山市,410400000000
3035,黑龙江省,佳木斯市,230800000000
3043,福建省,宁德市,350900000000
3060,云南省,德宏傣族景颇族自治州,533100000000
3068,河北省,衡水市,131100000000
3075,江西省,赣州市,360700000000
3076,河南省,安阳市,410500000000
3083,青海省,海西蒙古族藏族自治州,632800000000
3089,广东省,河源市,441600000000
3092,云南省,昭通市,530600000000
3097,山东省,临沂市,371300000000
3109,新疆维吾尔自治区,伊犁哈萨克自治州,654000000000
3113,湖北省,黄冈市,421100000000
3114,内蒙古自治区,呼伦贝尔市,150700000000
3128,四川省,巴中市,511900000000
3133,广西壮族自治区,北海市,450500000000
3156,辽宁省,鞍山市,210300000000
3167,安徽省,黄山市,341000000000
3169,新疆维吾尔自治区,和田地区,653200000000
3198,浙江省,嘉兴市,330400000000
3204,河南省,南阳市,411300000000
