id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
125,广西壮族自治区,梧州市,藤县,,,450422000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
126,湖北省,随州市,广水市,,,421381000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
127,浙江省,丽水市,松阳县,,,331124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
128,湖南省,衡阳市,蒸湘区,,,430408000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
129,广东省,云浮市,云安县,,,445323000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
130,河北省,张家口市,赤城县,,,130732000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
131,安徽省,蚌埠市,淮上区,,,340311000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
132,辽宁省,铁岭市,,,,211200000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
133,江西省,九江市,星子县,,,360427000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
134,四川省,南充市,顺庆区,,,511302000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
135,广东省,茂名市,茂南区,,,440902000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
136,西藏自治区,那曲地区,比如县,,,542423000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
137,湖南省,娄底市,冷水江市,,,431381000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
138,河南省,漯河市,,,,411100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
139,河南省,开封市,开封县,,,410224000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
140,山西省,运城市,平陆县,,,140829000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
141,安徽省,滁州市,全椒县,,,341124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
142,辽宁省,葫芦岛市,连山区,,,211402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
143,山西省,长治市,郊区,,,140411000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
144,浙江省,宁波市,北仑区,,,330206000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
145,江苏省,常州市,溧阳市,,,320481000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
146,四川省,成都市,新都区,,,510114000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
147,安徽省,铜陵市,,,,340700000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
148,辽宁省,沈阳市,大东区,,,210104000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
149,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,,,530825000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
150,云南省,昆明市,富民县,,,530124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
151,甘肃省,,,,,620000000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
152,河南省,安阳市,北关区,,,410503000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
153,北京市,,顺义区,,,110113000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
154,甘肃省,金昌市,永昌县,,,620321000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
155,湖南省,湘西土家族苗族自治州,保靖县,,,433125000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
156,福建省,宁德市,福安市,,,350981000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
157,山西省,朔州市,应县,,,140622000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
158,河南省,平顶山市,新华区,,,410402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
159,四川省,宜宾市,筠连县,,,511527000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
160,甘肃省,武威市,,,,620600000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
161,吉林省,长春市,朝阳区,,,220104000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
162,安徽省,合肥市,,,,340100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
163,山东省,济宁市,曲阜市,,,370881000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
164,天津市,,北辰区,,,120113000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
165,广西壮族自治区,柳州市,城中区,,,450202000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
166,湖南省,湘潭市,雨湖区,,,430302000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
167,云南省,文山壮族苗族自治州,麻栗坡县,,,532624000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
168,江西省,抚州市,东乡县,,,361029000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
169,广西壮族自治区,河池市,环江毛南族自治县,,,451226000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
170,河北省,保定市,清苑县,,,130622000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
171,河南省,南阳市,内乡县,,,411325000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
172,浙江省,杭州市,,,,330100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
173,湖南省,怀化市,会同县,,,431225000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
174,四川省,甘孜藏族自治州,白玉县,,,513331000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
175,福建省,,,,,350000000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
176,陕西省,汉中市,,,,610700000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
177,陕西省,渭南市,白水县,,,610527000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
178,西藏自治区,阿里地区,日土县,,,542524000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
179,新疆维吾尔自治区,乌鲁木齐市,达坂城区,,,650107000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
180,四川省,阿坝藏族羌族自治州,汶川县,,,513221000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
181,四川省,广元市,苍溪县,,,510824000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
182,青海省,,,,,630000000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
183,云南省,丽江市,宁蒗彝族自治县,,,530724000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
184,黑龙江省,伊春市,乌伊岭区,,,230714000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
185,山西省,晋中市,平遥县,,,140728000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
186,江西省,,,,,360000000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
187,甘肃省,酒泉市,玉门市,,,620981000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
188,四川省,内江市,隆昌县,,,511028000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
189,内蒙古自治区,阿拉善盟,阿拉善左旗,,,152921000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
190,甘肃省,庆阳市,合水县,,,621024000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
191,贵州省,黔东南苗族侗族自治州,三穗县,,,522624000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
192,浙江省,金华市,武义县,,,330723000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
193,新疆维吾尔自治区,乌鲁木齐市,天山区,,,650102000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
194,广东省,深圳市,龙岗区,,,440307000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
195,湖南省,长沙市,开福区,,,430105000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
196,广东省,河源市,和平县,,,441624000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
197,甘肃省,临夏回族自治州,康乐县,,,622922000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
198,福建省,漳州市,,,,350600000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
199,江西省,赣州市,上犹县,,,360724000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
200,内蒙古自治区,呼和浩特市,和林格尔县,,,150123000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
201,河北省,保定市,北市区,,,130603000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
202,安徽省,亳州市,利辛县,,,341623000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
203,海南省,海口市,龙华区,,,460106000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
204,吉林省,辽源市,龙山区,,,220402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
205,黑龙江省,大庆市,让胡路区,,,230604000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
206,江西省,吉安市,吉州区,,,360802000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
